algorithm,antecedents,consequents,support,confidence,lift,recency_score,composite_score_with_recency
Apriori,frozenset({'semi-finished bread'}),frozenset({'yogurt'}),0.0013,0.125,1.6038,1.0,0.2803
FP-Growth,frozenset({'long life bakery product'}),frozenset({'pork'}),0.0013,0.0638,3.1888,0.8062,0.2359
Apriori,frozenset({'pork'}),frozenset({'long life bakery product'}),0.0013,0.0638,3.1888,0.8062,0.2359
Apriori,frozenset({'long life bakery product'}),frozenset({'pork'}),0.0013,0.0638,3.1888,0.8062,0.2359
FP-Growth,frozenset({'pork'}),frozenset({'long life bakery product'}),0.0013,0.0638,3.1888,0.8062,0.2359
Apriori,frozenset({'beverages'}),frozenset({'bottled water'}),0.0013,0.1111,1.7277,0.9836,0.2696
FP-Growth,frozenset({'beverages'}),frozenset({'bottled water'}),0.0013,0.1111,1.7277,0.9836,0.2696
FP-Growth,frozenset({'hard cheese'}),frozenset({'bottled water'}),0.0017,0.125,1.9437,0.8959,0.2708
Apriori,frozenset({'hard cheese'}),frozenset({'bottled water'}),0.0017,0.125,1.9437,0.8959,0.2708
FP-Growth,frozenset({'flour'}),frozenset({'whipped/sour cream'}),0.0013,0.1154,2.4407,0.8666,0.2596
Apriori,frozenset({'flour'}),frozenset({'whipped/sour cream'}),0.0013,0.1154,2.4407,0.8666,0.2596
Apriori,frozenset({'meat'}),frozenset({'domestic eggs'}),0.0013,0.1,2.348,0.89,0.2537
FP-Growth,frozenset({'meat'}),frozenset({'domestic eggs'}),0.0013,0.1,2.348,0.89,0.2537
FP-Growth,frozenset({'pork'}),frozenset({'other vegetables'}),0.0026,0.1277,1.1618,0.9232,0.2786
Apriori,frozenset({'pork'}),frozenset({'other vegetables'}),0.0026,0.1277,1.1618,0.9232,0.2786
Apriori,frozenset({'onions'}),frozenset({'bottled beer'}),0.0013,0.075,1.7265,1.0,0.2504
FP-Growth,frozenset({'onions'}),frozenset({'bottled beer'}),0.0013,0.075,1.7265,1.0,0.2504
FP-Growth,frozenset({'napkins'}),frozenset({'shopping bags'}),0.0017,0.0769,1.4222,1.0,0.2534
Apriori,frozenset({'napkins'}),frozenset({'shopping bags'}),0.0017,0.0769,1.4222,1.0,0.2534
Apriori,frozenset({'ice cream'}),frozenset({'yogurt'}),0.0017,0.1379,1.7697,0.8959,0.2708
FP-Growth,frozenset({'ice cream'}),frozenset({'yogurt'}),0.0017,0.1379,1.7697,0.8959,0.2708
FP-Growth,"frozenset({'other vegetables', 'soda'})",frozenset({'rolls/buns'}),0.0013,0.1364,1.351,1.0,0.2748
Apriori,"frozenset({'other vegetables', 'soda'})",frozenset({'rolls/buns'}),0.0013,0.1364,1.351,1.0,0.2748
FP-Growth,frozenset({'dish cleaner'}),frozenset({'whole milk'}),0.0013,0.1875,1.3801,0.9524,0.2927
Apriori,frozenset({'dish cleaner'}),frozenset({'whole milk'}),0.0013,0.1875,1.3801,0.9524,0.2927
Apriori,frozenset({'hamburger meat'}),frozenset({'pastry'}),0.0013,0.0937,1.7752,0.9672,0.2522
FP-Growth,frozenset({'hamburger meat'}),frozenset({'pastry'}),0.0013,0.0937,1.7752,0.9672,0.2522
FP-Growth,frozenset({'brown bread'}),frozenset({'domestic eggs'}),0.0026,0.0606,1.423,0.9212,0.2429
Apriori,frozenset({'brown bread'}),frozenset({'domestic eggs'}),0.0026,0.0606,1.423,0.9212,0.2429
Apriori,frozenset({'domestic eggs'}),frozenset({'brown bread'}),0.0026,0.06,1.423,0.9212,0.2424
FP-Growth,frozenset({'domestic eggs'}),frozenset({'brown bread'}),0.0026,0.06,1.423,0.9212,0.2424
FP-Growth,frozenset({'napkins'}),frozenset({'pastry'}),0.0017,0.0769,1.4566,0.9836,0.248
Apriori,frozenset({'napkins'}),frozenset({'pastry'}),0.0017,0.0769,1.4566,0.9836,0.248
Apriori,frozenset({'sugar'}),frozenset({'coffee'}),0.0013,0.0682,2.0791,0.936,0.2362
FP-Growth,frozenset({'sugar'}),frozenset({'coffee'}),0.0013,0.0682,2.0791,0.936,0.2362
Apriori,frozenset({'ham'}),frozenset({'whole milk'}),0.0013,0.1579,1.1622,1.0,0.2803
FP-Growth,frozenset({'ham'}),frozenset({'whole milk'}),0.0013,0.1579,1.1622,1.0,0.2803
Apriori,frozenset({'pot plants'}),frozenset({'soda'}),0.0013,0.1364,1.3742,0.9836,0.2688
FP-Growth,frozenset({'pot plants'}),frozenset({'soda'}),0.0013,0.1364,1.3742,0.9836,0.2688
FP-Growth,frozenset({'chicken'}),frozenset({'domestic eggs'}),0.0013,0.0937,2.2012,0.89,0.2411
Apriori,frozenset({'chicken'}),frozenset({'domestic eggs'}),0.0013,0.0937,2.2012,0.89,0.2411
Apriori,frozenset({'long life bakery product'}),frozenset({'rolls/buns'}),0.0026,0.1277,1.2647,0.883,0.2663
FP-Growth,frozenset({'long life bakery product'}),frozenset({'rolls/buns'}),0.0026,0.1277,1.2647,0.883,0.2663
FP-Growth,frozenset({'UHT-milk'}),frozenset({'curd'}),0.0013,0.06,2.0718,0.936,0.2298
Apriori,frozenset({'UHT-milk'}),frozenset({'curd'}),0.0013,0.06,2.0718,0.936,0.2298
Apriori,frozenset({'frozen vegetables'}),frozenset({'bottled beer'}),0.0017,0.0615,1.4166,0.9836,0.2346
FP-Growth,frozenset({'frozen vegetables'}),frozenset({'bottled beer'}),0.0017,0.0615,1.4166,0.9836,0.2346
Apriori,frozenset({'beef'}),frozenset({'fruit/vegetable juice'}),0.0017,0.0635,1.7136,0.9355,0.2308
FP-Growth,frozenset({'beef'}),frozenset({'fruit/vegetable juice'}),0.0017,0.0635,1.7136,0.9355,0.2308
Apriori,frozenset({'cream cheese '}),frozenset({'pastry'}),0.0017,0.0755,1.4291,0.9672,0.2382
FP-Growth,frozenset({'cream cheese '}),frozenset({'pastry'}),0.0017,0.0755,1.4291,0.9672,0.2382
FP-Growth,frozenset({'frankfurter'}),frozenset({'other vegetables'}),0.0013,0.1304,1.1871,1.0,0.2616
Apriori,frozenset({'frankfurter'}),frozenset({'other vegetables'}),0.0013,0.1304,1.1871,1.0,0.2616
FP-Growth,frozenset({'frozen potato products'}),frozenset({'whole milk'}),0.0013,0.1875,1.3801,0.9232,0.2797
Apriori,frozenset({'frozen potato products'}),frozenset({'whole milk'}),0.0013,0.1875,1.3801,0.9232,0.2797
FP-Growth,frozenset({'onions'}),frozenset({'whipped/sour cream'}),0.0013,0.075,1.5865,0.9836,0.2355
Apriori,frozenset({'onions'}),frozenset({'whipped/sour cream'}),0.0013,0.075,1.5865,0.9836,0.2355
Apriori,frozenset({'butter'}),frozenset({'root vegetables'}),0.0026,0.0682,1.3341,0.9048,0.2363
FP-Growth,frozenset({'butter'}),frozenset({'root vegetables'}),0.0026,0.0682,1.3341,0.9048,0.2363
Apriori,frozenset({'pot plants'}),frozenset({'other vegetables'}),0.0013,0.1364,1.241,0.9836,0.2616
FP-Growth,frozenset({'pot plants'}),frozenset({'other vegetables'}),0.0013,0.1364,1.241,0.9836,0.2616
FP-Growth,frozenset({'dessert'}),frozenset({'pastry'}),0.0017,0.0702,1.3288,0.9836,0.2361
Apriori,frozenset({'dessert'}),frozenset({'pastry'}),0.0017,0.0702,1.3288,0.9836,0.2361
Apriori,frozenset({'frozen meals'}),frozenset({'brown bread'}),0.0013,0.0714,1.6941,0.9672,0.2315
FP-Growth,frozenset({'frozen meals'}),frozenset({'brown bread'}),0.0013,0.0714,1.6941,0.9672,0.2315
Apriori,frozenset({'frozen vegetables'}),frozenset({'butter'}),0.0017,0.0615,1.642,0.936,0.2257
FP-Growth,frozenset({'frozen vegetables'}),frozenset({'butter'}),0.0017,0.0615,1.642,0.936,0.2257
Apriori,frozenset({'salty snack'}),frozenset({'root vegetables'}),0.0017,0.0816,1.5973,0.9202,0.2309
FP-Growth,frozenset({'salty snack'}),frozenset({'root vegetables'}),0.0017,0.0816,1.5973,0.9202,0.2309
FP-Growth,frozenset({'white bread'}),frozenset({'bottled beer'}),0.0017,0.0635,1.4616,0.9524,0.2246
Apriori,frozenset({'white bread'}),frozenset({'bottled beer'}),0.0017,0.0635,1.4616,0.9524,0.2246
FP-Growth,frozenset({'newspapers'}),frozenset({'shopping bags'}),0.0026,0.0645,1.1928,0.9094,0.2279
Apriori,frozenset({'newspapers'}),frozenset({'shopping bags'}),0.0026,0.0645,1.1928,0.9094,0.2279
Apriori,frozenset({'chocolate'}),frozenset({'pip fruit'}),0.0013,0.0732,2.4198,0.8354,0.2137
FP-Growth,frozenset({'chocolate'}),frozenset({'pip fruit'}),0.0013,0.0732,2.4198,0.8354,0.2137
FP-Growth,frozenset({'coffee'}),frozenset({'root vegetables'}),0.0021,0.0649,1.2706,0.936,0.2261
Apriori,frozenset({'coffee'}),frozenset({'root vegetables'}),0.0021,0.0649,1.2706,0.936,0.2261
FP-Growth,frozenset({'long life bakery product'}),frozenset({'yogurt'}),0.0021,0.1064,1.365,0.883,0.238
Apriori,frozenset({'long life bakery product'}),frozenset({'yogurt'}),0.0021,0.1064,1.365,0.883,0.238
Apriori,frozenset({'liquor (appetizer)'}),frozenset({'soda'}),0.0013,0.3,3.0232,0.5501,0.2858
FP-Growth,frozenset({'liquor (appetizer)'}),frozenset({'soda'}),0.0013,0.3,3.0232,0.5501,0.2858
FP-Growth,frozenset({'white bread'}),frozenset({'brown bread'}),0.0017,0.0635,1.5059,0.936,0.2197
Apriori,frozenset({'white bread'}),frozenset({'brown bread'}),0.0017,0.0635,1.5059,0.936,0.2197
FP-Growth,frozenset({'ice cream'}),frozenset({'rolls/buns'}),0.0017,0.1379,1.3665,0.8959,0.2488
