algorithm,antecedents,consequents,support,confidence,lift,recency_score,composite_score_with_recency
Apriori,frozenset({'curd'}),frozenset({'yogurt'}),0.0026,0.0882,1.1321,0.9836,0.396
Apriori,frozenset({'chocolate'}),frozenset({'soda'}),0.0026,0.1463,1.4747,0.883,0.3345
Apriori,frozenset({'citrus fruit'}),frozenset({'bottled water'}),0.0026,0.0714,1.1107,1.0,0.4088
Apriori,frozenset({'semi-finished bread'}),frozenset({'yogurt'}),0.0013,0.125,1.6038,1.0,0.4491
Apriori,frozenset({'long life bakery product'}),frozenset({'pork'}),0.0013,0.0638,3.1888,0.8062,0.4065
Apriori,frozenset({'pork'}),frozenset({'long life bakery product'}),0.0013,0.0638,3.1888,0.8062,0.4065
Apriori,frozenset({'beverages'}),frozenset({'bottled water'}),0.0013,0.1111,1.7277,0.9836,0.4447
Apriori,frozenset({'hard cheese'}),frozenset({'bottled water'}),0.0017,0.125,1.9437,0.8959,0.3844
Apriori,frozenset({'flour'}),frozenset({'whipped/sour cream'}),0.0013,0.1154,2.4407,0.8666,0.399
Apriori,frozenset({'meat'}),frozenset({'domestic eggs'}),0.0013,0.1,2.348,0.89,0.4122
Apriori,frozenset({'pork'}),frozenset({'other vegetables'}),0.0026,0.1277,1.1618,0.9232,0.3447
Apriori,frozenset({'onions'}),frozenset({'bottled beer'}),0.0013,0.075,1.7265,1.0,0.4592
Apriori,frozenset({'napkins'}),frozenset({'shopping bags'}),0.0017,0.0769,1.4222,1.0,0.4343
Apriori,frozenset({'ice cream'}),frozenset({'yogurt'}),0.0017,0.1379,1.7697,0.8959,0.3702
Apriori,"frozenset({'soda', 'other vegetables'})",frozenset({'rolls/buns'}),0.0013,0.1364,1.351,1.0,0.4285
Apriori,frozenset({'dish cleaner'}),frozenset({'whole milk'}),0.0013,0.1875,1.3801,0.9524,0.3885
Apriori,frozenset({'hamburger meat'}),frozenset({'pastry'}),0.0013,0.0937,1.7752,0.9672,0.434
Apriori,frozenset({'brown bread'}),frozenset({'domestic eggs'}),0.0026,0.0606,1.423,0.9212,0.3643
Apriori,frozenset({'domestic eggs'}),frozenset({'brown bread'}),0.0026,0.06,1.423,0.9212,0.3643
Apriori,frozenset({'napkins'}),frozenset({'pastry'}),0.0017,0.0769,1.4566,0.9836,0.4225
Apriori,frozenset({'sugar'}),frozenset({'coffee'}),0.0013,0.0682,2.0791,0.936,0.4311
Apriori,frozenset({'ham'}),frozenset({'whole milk'}),0.0013,0.1579,1.1622,1.0,0.413
Apriori,frozenset({'pot plants'}),frozenset({'soda'}),0.0013,0.1364,1.3742,0.9836,0.4158
Apriori,frozenset({'chicken'}),frozenset({'domestic eggs'}),0.0013,0.0937,2.2012,0.89,0.4002
Apriori,frozenset({'long life bakery product'}),frozenset({'rolls/buns'}),0.0026,0.1277,1.2647,0.883,0.3173
Apriori,frozenset({'UHT-milk'}),frozenset({'curd'}),0.0013,0.06,2.0718,0.936,0.4305
Apriori,frozenset({'frozen vegetables'}),frozenset({'bottled beer'}),0.0017,0.0615,1.4166,0.9836,0.4192
Apriori,frozenset({'beef'}),frozenset({'fruit/vegetable juice'}),0.0017,0.0635,1.7136,0.9355,0.4008
Apriori,frozenset({'cream cheese '}),frozenset({'pastry'}),0.0017,0.0755,1.4291,0.9672,0.4057
Apriori,frozenset({'frankfurter'}),frozenset({'other vegetables'}),0.0013,0.1304,1.1871,1.0,0.415
Apriori,frozenset({'frozen potato products'}),frozenset({'whole milk'}),0.0013,0.1875,1.3801,0.9232,0.3626
Apriori,frozenset({'onions'}),frozenset({'whipped/sour cream'}),0.0013,0.075,1.5865,0.9836,0.4331
Apriori,frozenset({'butter'}),frozenset({'root vegetables'}),0.0026,0.0682,1.3341,0.9048,0.3425
Apriori,frozenset({'pot plants'}),frozenset({'other vegetables'}),0.0013,0.1364,1.241,0.9836,0.4049
