algorithm,antecedents,consequents,support,confidence,lift,recency_score,composite_score_with_recency
FP-Growth,frozenset({'beverages'}),frozenset({'other vegetables'}),0.0013,0.0924,0.8664,0.9987,0.3781
FP-Growth,frozenset({'citrus fruit'}),frozenset({'napkins'}),0.0011,0.0311,1.2458,0.9908,0.4764
FP-Growth,frozenset({'soda'}),frozenset({'specialty chocolate'}),0.0016,0.0164,1.003,0.9987,0.4175
FP-Growth,frozenset({'citrus fruit'}),frozenset({'soda'}),0.0025,0.0727,0.7681,1.0,0.3434
FP-Growth,frozenset({'curd'}),frozenset({'whole milk'}),0.0029,0.0952,0.7299,0.9987,0.3266
FP-Growth,frozenset({'canned beer'}),frozenset({'fruit/vegetable juice'}),0.0012,0.035,0.9523,1.0,0.407
FP-Growth,frozenset({'yogurt'}),frozenset({'chewing gum'}),0.0011,0.0137,1.1229,0.9961,0.4504
FP-Growth,frozenset({'beverages'}),frozenset({'soda'}),0.0012,0.084,0.8882,0.9987,0.3846
FP-Growth,frozenset({'curd'}),frozenset({'other vegetables'}),0.0025,0.0833,0.7811,0.9987,0.3439
FP-Growth,frozenset({'rolls/buns'}),frozenset({'seasonal products'}),0.0011,0.0106,1.3588,0.9882,0.5035
FP-Growth,frozenset({'fruit/vegetable juice'}),frozenset({'canned beer'}),0.0012,0.0326,0.9523,1.0,0.4062
FP-Growth,frozenset({'UHT-milk'}),frozenset({'tropical fruit'}),0.0011,0.0542,1.111,0.9935,0.4402
FP-Growth,frozenset({'rolls/buns'}),frozenset({'detergent'}),0.0012,0.0117,1.3822,0.9869,0.5063
FP-Growth,frozenset({'shopping bags'}),frozenset({'coffee'}),0.0016,0.0295,0.9628,0.9987,0.4034
FP-Growth,frozenset({'bottled water'}),frozenset({'soda'}),0.0038,0.063,0.6658,1.0,0.3021
FP-Growth,frozenset({'whole milk'}),frozenset({'domestic eggs'}),0.0039,0.0302,0.7617,0.9987,0.3272
FP-Growth,frozenset({'citrus fruit'}),frozenset({'domestic eggs'}),0.0013,0.0381,0.9586,0.9987,0.4027
FP-Growth,frozenset({'pastry'}),frozenset({'bottled water'}),0.0025,0.0506,0.8328,0.9987,0.357
FP-Growth,frozenset({'butter'}),frozenset({'whole milk'}),0.0031,0.0912,0.6991,0.9987,0.3129
FP-Growth,frozenset({'specialty bar'}),frozenset({'rolls/buns'}),0.0012,0.0877,0.8608,0.9987,0.3733
FP-Growth,frozenset({'bottled water'}),frozenset({'whole milk'}),0.0045,0.0748,0.5733,1.0,0.2683
FP-Growth,frozenset({'white bread'}),frozenset({'brown bread'}),0.0011,0.0404,1.0043,0.9974,0.4139
FP-Growth,frozenset({'soda'}),frozenset({'chocolate'}),0.0022,0.0228,0.9513,0.9974,0.3909
FP-Growth,frozenset({'domestic eggs'}),frozenset({'citrus fruit'}),0.0013,0.0331,0.9586,0.9987,0.4012
FP-Growth,frozenset({'other vegetables'}),frozenset({'shopping bags'}),0.0041,0.0381,0.7227,0.9987,0.3127
FP-Growth,frozenset({'rolls/buns'}),frozenset({'shopping bags'}),0.0041,0.0399,0.7566,0.9974,0.3198
FP-Growth,frozenset({'yogurt'}),frozenset({'shopping bags'}),0.0033,0.0426,0.808,0.9974,0.3396
FP-Growth,frozenset({'brown bread'}),frozenset({'yogurt'}),0.0025,0.0625,0.7954,0.9987,0.3438
FP-Growth,frozenset({'yogurt'}),frozenset({'pot plants'}),0.0011,0.0137,1.6362,0.9777,0.5597
FP-Growth,frozenset({'brown bread'}),frozenset({'soda'}),0.0028,0.0685,0.7236,1.0,0.3234
FP-Growth,frozenset({'brown bread'}),frozenset({'rolls/buns'}),0.003,0.0744,0.7302,0.9987,0.3209
FP-Growth,frozenset({'bottled water'}),frozenset({'rolls/buns'}),0.0041,0.0669,0.6568,0.9987,0.2919
FP-Growth,frozenset({'whole milk'}),frozenset({'sausage'}),0.0028,0.0211,0.8198,1.0,0.3521
FP-Growth,frozenset({'butter'}),frozenset({'fruit/vegetable juice'}),0.0012,0.0351,0.9556,0.9987,0.3997
FP-Growth,frozenset({'bottled water'}),frozenset({'pastry'}),0.0025,0.0413,0.8328,0.9987,0.3541
FP-Growth,frozenset({'fruit/vegetable juice'}),frozenset({'tropical fruit'}),0.0016,0.0423,0.8678,1.0,0.3732
