algorithm,antecedents,consequents,support,confidence,lift,recency_score,composite_score_with_recency
Apriori,frozenset({'pastry'}),frozenset({'pip fruit'}),0.0019,0.0386,1.0266,0.9974,0.4286
Apriori,frozenset({'canned beer'}),frozenset({'whole milk'}),0.0032,0.0944,0.7235,1.0,0.3345
Apriori,frozenset({'bottled beer'}),frozenset({'newspapers'}),0.0017,0.0413,0.998,0.9987,0.4238
Apriori,frozenset({'newspapers'}),frozenset({'bottled beer'}),0.0017,0.0405,0.998,0.9987,0.4235
Apriori,frozenset({'ice cream'}),frozenset({'whole milk'}),0.0016,0.1238,0.9488,0.9948,0.4004
Apriori,frozenset({'brown bread'}),frozenset({'pastry'}),0.0019,0.0476,0.9594,0.9987,0.4098
Apriori,frozenset({'shopping bags'}),frozenset({'other vegetables'}),0.0041,0.0771,0.7227,0.9987,0.325
Apriori,frozenset({'specialty chocolate'}),frozenset({'other vegetables'}),0.0016,0.0949,0.8894,0.9987,0.3908
Apriori,frozenset({'shopping bags'}),frozenset({'whole milk'}),0.0045,0.0862,0.6604,0.9987,0.3025
Apriori,frozenset({'shopping bags'}),frozenset({'rolls/buns'}),0.0041,0.0771,0.7566,0.9974,0.3315
Apriori,frozenset({'hard cheese'}),frozenset({'yogurt'}),0.0011,0.0783,0.9959,0.9974,0.4221
Apriori,frozenset({'yogurt'}),frozenset({'canned beer'}),0.0025,0.032,0.9344,0.9987,0.3972
Apriori,frozenset({'rolls/buns'}),frozenset({'hamburger meat'}),0.0018,0.0176,1.0222,0.9987,0.4281
Apriori,frozenset({'salty snack'}),frozenset({'rolls/buns'}),0.002,0.1037,1.0172,0.9921,0.4103
Apriori,frozenset({'salty snack'}),frozenset({'root vegetables'}),0.0013,0.0671,1.1105,0.9935,0.4455
Apriori,frozenset({'pip fruit'}),frozenset({'soda'}),0.0029,0.0764,0.8079,0.9987,0.3561
Apriori,frozenset({'whole milk'}),frozenset({'candy'}),0.0022,0.0165,1.0294,0.9974,0.4244
Apriori,frozenset({'soda'}),frozenset({'shopping bags'}),0.0039,0.0417,0.791,0.9987,0.344
Apriori,frozenset({'bottled beer'}),frozenset({'frozen vegetables'}),0.0013,0.0324,1.1796,0.9935,0.4659
Apriori,frozenset({'newspapers'}),frozenset({'beef'}),0.0011,0.026,1.1327,0.9961,0.4588
Apriori,frozenset({'newspapers'}),frozenset({'rolls/buns'}),0.0033,0.0809,0.7941,0.9974,0.3454
Apriori,frozenset({'sliced cheese'}),frozenset({'other vegetables'}),0.0014,0.0976,0.9145,0.9974,0.3934
Apriori,frozenset({'pastry'}),frozenset({'brown bread'}),0.0019,0.0386,0.9594,0.9987,0.4069
Apriori,frozenset({'coffee'}),frozenset({'shopping bags'}),0.0016,0.0508,0.9628,0.9987,0.4101
Apriori,frozenset({'citrus fruit'}),frozenset({'whipped/sour cream'}),0.0016,0.045,1.0137,0.9974,0.4226
Apriori,frozenset({'napkins'}),frozenset({'citrus fruit'}),0.0011,0.0431,1.2458,0.9908,0.4801
Apriori,frozenset({'bottled water'}),frozenset({'white bread'}),0.0017,0.0276,1.0333,0.9974,0.4267
Apriori,frozenset({'soda'}),frozenset({'tropical fruit'}),0.0036,0.0379,0.7772,1.0,0.3432
Apriori,frozenset({'chewing gum'}),frozenset({'rolls/buns'}),0.0012,0.098,0.9621,0.9961,0.4049
Apriori,frozenset({'domestic eggs'}),frozenset({'brown bread'}),0.0016,0.0392,0.9744,0.9987,0.4117
Apriori,frozenset({'brown bread'}),frozenset({'domestic eggs'}),0.0016,0.0387,0.9744,0.9987,0.4116
Apriori,frozenset({'whole milk'}),frozenset({'cat food'}),0.0018,0.0137,0.966,1.0,0.4102
Apriori,frozenset({'whole milk'}),frozenset({'brown bread'}),0.0039,0.0302,0.7527,1.0,0.3319
Apriori,frozenset({'whipped/sour cream'}),frozenset({'citrus fruit'}),0.0016,0.035,1.0137,0.9974,0.4194
Apriori,frozenset({'shopping bags'}),frozenset({'yogurt'}),0.0033,0.0635,0.808,0.9974,0.3461
Apriori,frozenset({'chocolate'}),frozenset({'rolls/buns'}),0.0022,0.09,0.8832,0.9961,0.3724
Apriori,frozenset({'curd'}),frozenset({'bottled water'}),0.0017,0.0556,0.9144,0.9987,0.3904
Apriori,frozenset({'beverages'}),frozenset({'other vegetables'}),0.0013,0.0924,0.8664,0.9987,0.3781
Apriori,frozenset({'citrus fruit'}),frozenset({'napkins'}),0.0011,0.0311,1.2458,0.9908,0.4764
Apriori,frozenset({'soda'}),frozenset({'specialty chocolate'}),0.0016,0.0164,1.003,0.9987,0.4175
Apriori,frozenset({'citrus fruit'}),frozenset({'soda'}),0.0025,0.0727,0.7681,1.0,0.3434
Apriori,frozenset({'curd'}),frozenset({'whole milk'}),0.0029,0.0952,0.7299,0.9987,0.3266
Apriori,frozenset({'canned beer'}),frozenset({'fruit/vegetable juice'}),0.0012,0.035,0.9523,1.0,0.407
Apriori,frozenset({'yogurt'}),frozenset({'chewing gum'}),0.0011,0.0137,1.1229,0.9961,0.4504
Apriori,frozenset({'beverages'}),frozenset({'soda'}),0.0012,0.084,0.8882,0.9987,0.3846
Apriori,frozenset({'curd'}),frozenset({'other vegetables'}),0.0025,0.0833,0.7811,0.9987,0.3439
Apriori,frozenset({'rolls/buns'}),frozenset({'seasonal products'}),0.0011,0.0106,1.3588,0.9882,0.5035
Apriori,frozenset({'fruit/vegetable juice'}),frozenset({'canned beer'}),0.0012,0.0326,0.9523,1.0,0.4062
Apriori,frozenset({'UHT-milk'}),frozenset({'tropical fruit'}),0.0011,0.0542,1.111,0.9935,0.4402
Apriori,frozenset({'rolls/buns'}),frozenset({'detergent'}),0.0012,0.0117,1.3822,0.9869,0.5063
Apriori,frozenset({'shopping bags'}),frozenset({'coffee'}),0.0016,0.0295,0.9628,0.9987,0.4034
Apriori,frozenset({'bottled water'}),frozenset({'soda'}),0.0038,0.063,0.6658,1.0,0.3021
Apriori,frozenset({'whole milk'}),frozenset({'domestic eggs'}),0.0039,0.0302,0.7617,0.9987,0.3272
Apriori,frozenset({'citrus fruit'}),frozenset({'domestic eggs'}),0.0013,0.0381,0.9586,0.9987,0.4027
Apriori,frozenset({'pastry'}),frozenset({'bottled water'}),0.0025,0.0506,0.8328,0.9987,0.357
Apriori,frozenset({'butter'}),frozenset({'whole milk'}),0.0031,0.0912,0.6991,0.9987,0.3129
Apriori,frozenset({'specialty bar'}),frozenset({'rolls/buns'}),0.0012,0.0877,0.8608,0.9987,0.3733
Apriori,frozenset({'bottled water'}),frozenset({'whole milk'}),0.0045,0.0748,0.5733,1.0,0.2683
Apriori,frozenset({'white bread'}),frozenset({'brown bread'}),0.0011,0.0404,1.0043,0.9974,0.4139
Apriori,frozenset({'soda'}),frozenset({'chocolate'}),0.0022,0.0228,0.9513,0.9974,0.3909
Apriori,frozenset({'domestic eggs'}),frozenset({'citrus fruit'}),0.0013,0.0331,0.9586,0.9987,0.4012
Apriori,frozenset({'other vegetables'}),frozenset({'shopping bags'}),0.0041,0.0381,0.7227,0.9987,0.3127
Apriori,frozenset({'rolls/buns'}),frozenset({'shopping bags'}),0.0041,0.0399,0.7566,0.9974,0.3198
Apriori,frozenset({'yogurt'}),frozenset({'shopping bags'}),0.0033,0.0426,0.808,0.9974,0.3396
Apriori,frozenset({'brown bread'}),frozenset({'yogurt'}),0.0025,0.0625,0.7954,0.9987,0.3438
Apriori,frozenset({'yogurt'}),frozenset({'pot plants'}),0.0011,0.0137,1.6362,0.9777,0.5597
Apriori,frozenset({'brown bread'}),frozenset({'soda'}),0.0028,0.0685,0.7236,1.0,0.3234
Apriori,frozenset({'brown bread'}),frozenset({'rolls/buns'}),0.003,0.0744,0.7302,0.9987,0.3209
Apriori,frozenset({'bottled water'}),frozenset({'rolls/buns'}),0.0041,0.0669,0.6568,0.9987,0.2919
Apriori,frozenset({'whole milk'}),frozenset({'sausage'}),0.0028,0.0211,0.8198,1.0,0.3521
Apriori,frozenset({'butter'}),frozenset({'fruit/vegetable juice'}),0.0012,0.0351,0.9556,0.9987,0.3997
Apriori,frozenset({'bottled water'}),frozenset({'pastry'}),0.0025,0.0413,0.8328,0.9987,0.3541
Apriori,frozenset({'fruit/vegetable juice'}),frozenset({'tropical fruit'}),0.0016,0.0423,0.8678,1.0,0.3732
Apriori,frozenset({'fruit/vegetable juice'}),frozenset({'butter'}),0.0012,0.0326,0.9556,0.9987,0.3989
Apriori,frozenset({'margarine'}),frozenset({'rolls/buns'}),0.0029,0.0811,0.7957,0.9961,0.3343
Apriori,frozenset({'citrus fruit'}),frozenset({'rolls/buns'}),0.0026,0.0761,0.747,0.9987,0.3269
Apriori,frozenset({'newspapers'}),frozenset({'yogurt'}),0.0026,0.0636,0.8092,0.9974,0.3423
Apriori,frozenset({'waffles'}),frozenset({'root vegetables'}),0.0012,0.0588,0.9739,0.9961,0.3978
Apriori,frozenset({'coffee'}),frozenset({'margarine'}),0.0011,0.0352,0.993,0.9974,0.4071
Apriori,frozenset({'tropical fruit'}),frozenset({'whole milk'}),0.0038,0.0784,0.6011,1.0,0.2776
Apriori,frozenset({'whole milk'}),frozenset({'waffles'}),0.0025,0.0192,0.9467,0.9961,0.3811
Apriori,frozenset({'hamburger meat'}),frozenset({'other vegetables'}),0.0014,0.0833,0.7811,1.0,0.3461
Apriori,frozenset({'brown bread'}),frozenset({'white bread'}),0.0011,0.0268,1.0043,0.9974,0.4096
Apriori,frozenset({'sugar'}),frozenset({'tropical fruit'}),0.0011,0.0556,1.1385,0.9908,0.4354
Apriori,frozenset({'bottled water'}),frozenset({'curd'}),0.0017,0.0276,0.9144,0.9987,0.3816
Apriori,frozenset({'ham'}),frozenset({'whole milk'}),0.0011,0.1047,0.802,0.9987,0.3513
Apriori,frozenset({'root vegetables'}),frozenset({'salty snack'}),0.0013,0.0218,1.1105,0.9935,0.4312
Apriori,frozenset({'margarine'}),frozenset({'coffee'}),0.0011,0.0304,0.993,0.9974,0.4056
Apriori,frozenset({'soda'}),frozenset({'pip fruit'}),0.0029,0.0303,0.8079,0.9987,0.3415
Apriori,frozenset({'candy'}),frozenset({'rolls/buns'}),0.0014,0.0896,0.8788,0.9961,0.3659
Apriori,frozenset({'other vegetables'}),frozenset({'chewing gum'}),0.0013,0.0123,1.0108,0.9974,0.4095
Apriori,frozenset({'oil'}),frozenset({'soda'}),0.0013,0.088,0.9302,0.9948,0.3791
Apriori,frozenset({'whole milk'}),frozenset({'shopping bags'}),0.0045,0.0348,0.6604,0.9987,0.2863
Apriori,frozenset({'fruit/vegetable juice'}),frozenset({'yogurt'}),0.0023,0.0619,0.7876,0.9987,0.3386
Apriori,frozenset({'soda'}),frozenset({'bottled water'}),0.0038,0.0405,0.6658,1.0,0.295
Apriori,frozenset({'domestic eggs'}),frozenset({'rolls/buns'}),0.003,0.0753,0.739,0.9974,0.3164
Apriori,frozenset({'tropical fruit'}),frozenset({'fruit/vegetable juice'}),0.0016,0.0319,0.8678,1.0,0.3699
Apriori,frozenset({'cat food'}),frozenset({'rolls/buns'}),0.0012,0.084,0.8247,0.9987,0.3558
Apriori,frozenset({'rolls/buns'}),frozenset({'newspapers'}),0.0033,0.0329,0.7941,0.9974,0.3302
Apriori,frozenset({'pastry'}),frozenset({'root vegetables'}),0.0024,0.0482,0.7979,0.9987,0.3397
Apriori,frozenset({'brown bread'}),frozenset({'other vegetables'}),0.0029,0.0714,0.6695,1.0,0.3006
Apriori,frozenset({'soda'}),frozenset({'rolls/buns'}),0.0053,0.0556,0.5459,0.9987,0.2454
Apriori,frozenset({'soda'}),frozenset({'specialty bar'}),0.0012,0.0126,0.9272,1.0,0.3886
Apriori,frozenset({'tropical fruit'}),frozenset({'UHT-milk'}),0.0011,0.0221,1.111,0.9935,0.43
Apriori,frozenset({'sliced cheese'}),frozenset({'soda'}),0.0012,0.0813,0.8594,0.9974,0.3618
Apriori,frozenset({'tropical fruit'}),frozenset({'bottled water'}),0.0023,0.0466,0.7665,1.0,0.333
Apriori,frozenset({'frozen meals'}),frozenset({'other vegetables'}),0.0013,0.0887,0.8315,0.9974,0.3523
Apriori,frozenset({'canned beer'}),frozenset({'other vegetables'}),0.0025,0.0734,0.6883,1.0,0.3075
Apriori,frozenset({'butter'}),frozenset({'soda'}),0.0024,0.0702,0.7418,0.9987,0.3212
Apriori,frozenset({'rolls/buns'}),frozenset({'soda'}),0.0053,0.0516,0.5459,0.9987,0.2441
Apriori,frozenset({'butter'}),frozenset({'newspapers'}),0.0013,0.0386,0.9327,0.9974,0.3823
Apriori,frozenset({'frozen vegetables'}),frozenset({'fruit/vegetable juice'}),0.0011,0.0391,1.0657,0.9935,0.4149
Apriori,frozenset({'curd'}),frozenset({'soda'}),0.0022,0.0714,0.755,0.9987,0.3261
Apriori,frozenset({'other vegetables'}),frozenset({'frankfurter'}),0.0012,0.0112,0.919,1.0,0.3844
Apriori,frozenset({'other vegetables'}),frozenset({'UHT-milk'}),0.0022,0.0202,1.0164,0.9935,0.3931
Apriori,frozenset({'whole milk'}),frozenset({'canned beer'}),0.0032,0.0247,0.7235,1.0,0.3125
Apriori,frozenset({'fruit/vegetable juice'}),frozenset({'whole milk'}),0.003,0.0814,0.6241,1.0,0.2838
Apriori,frozenset({'root vegetables'}),frozenset({'pastry'}),0.0024,0.0396,0.7979,0.9987,0.337
Apriori,frozenset({'coffee'}),frozenset({'brown bread'}),0.0011,0.0352,0.8748,1.0,0.3712
Apriori,frozenset({'yogurt'}),frozenset({'hard cheese'}),0.0011,0.0137,0.9959,0.9974,0.4017
Apriori,frozenset({'yogurt'}),frozenset({'soda'}),0.0044,0.0563,0.5953,0.9987,0.2629
Apriori,frozenset({'bottled water'}),frozenset({'other vegetables'}),0.0038,0.063,0.5904,1.0,0.2679
Apriori,frozenset({'rolls/buns'}),frozenset({'bottled water'}),0.0041,0.0399,0.6568,0.9987,0.2834
Apriori,frozenset({'margarine'}),frozenset({'whole milk'}),0.0031,0.0878,0.6732,0.9974,0.2912
Apriori,frozenset({'citrus fruit'}),frozenset({'brown bread'}),0.0012,0.0346,0.861,1.0,0.3655
Apriori,frozenset({'white bread'}),frozenset({'newspapers'}),0.0011,0.0404,0.9753,0.9961,0.3919
Apriori,frozenset({'bottled water'}),frozenset({'tropical fruit'}),0.0023,0.0374,0.7665,1.0,0.3301
Apriori,frozenset({'newspapers'}),frozenset({'butter'}),0.0013,0.0318,0.9327,0.9974,0.3802
Apriori,frozenset({'soda'}),frozenset({'citrus fruit'}),0.0025,0.0265,0.7681,1.0,0.3289
Apriori,frozenset({'yogurt'}),frozenset({'brown bread'}),0.0025,0.032,0.7954,0.9987,0.3341
Apriori,frozenset({'margarine'}),frozenset({'soda'}),0.0025,0.0709,0.7499,0.9974,0.317
Apriori,frozenset({'pastry'}),frozenset({'whole milk'}),0.0038,0.0771,0.5909,0.9987,0.2638
Apriori,frozenset({'pip fruit'}),frozenset({'whole milk'}),0.0031,0.0828,0.6346,0.9987,0.2809
Apriori,frozenset({'tropical fruit'}),frozenset({'other vegetables'}),0.0032,0.0662,0.6203,1.0,0.2788
Apriori,frozenset({'brown bread'}),frozenset({'citrus fruit'}),0.0012,0.0298,0.861,1.0,0.364
Apriori,frozenset({'fruit/vegetable juice'}),frozenset({'frozen vegetables'}),0.0011,0.0293,1.0657,0.9935,0.4118
Apriori,frozenset({'brown bread'}),frozenset({'coffee'}),0.0011,0.0268,0.8748,1.0,0.3685
Apriori,frozenset({'whole milk'}),frozenset({'bottled water'}),0.0045,0.0348,0.5733,1.0,0.2557
Apriori,frozenset({'yogurt'}),frozenset({'newspapers'}),0.0026,0.0335,0.8092,0.9974,0.3328
Apriori,frozenset({'soda'}),frozenset({'yogurt'}),0.0044,0.0468,0.5953,0.9987,0.2598
Apriori,frozenset({'bottled water'}),frozenset({'yogurt'}),0.0032,0.0531,0.6764,0.9987,0.2913
Apriori,frozenset({'long life bakery product'}),frozenset({'tropical fruit'}),0.0011,0.0529,1.0849,0.9908,0.4103
Apriori,frozenset({'domestic eggs'}),frozenset({'bottled water'}),0.0019,0.0482,0.7932,0.9987,0.3346
Apriori,frozenset({'soda'}),frozenset({'brown bread'}),0.0028,0.0291,0.7236,1.0,0.311
Apriori,frozenset({'other vegetables'}),frozenset({'specialty chocolate'}),0.0016,0.0146,0.8894,0.9987,0.3654
Apriori,frozenset({'coffee'}),frozenset({'soda'}),0.002,0.0664,0.7019,1.0,0.3085
Apriori,frozenset({'frozen vegetables'}),frozenset({'whole milk'}),0.0028,0.1,0.7664,0.9935,0.3086
Apriori,frozenset({'pickled vegetables'}),frozenset({'whole milk'}),0.0011,0.0978,0.7497,0.9987,0.3254
Apriori,frozenset({'newspapers'}),frozenset({'white bread'}),0.0011,0.026,0.9753,0.9961,0.3874
Apriori,frozenset({'curd'}),frozenset({'pastry'}),0.0013,0.0437,0.8794,0.9974,0.3598
Apriori,frozenset({'tropical fruit'}),frozenset({'sugar'}),0.0011,0.0221,1.1385,0.9908,0.4248
